Title,RMS Mean (dB),RMS Total (dB),RMS Min (dB),RMS Max (dB),Offset (sec),Endset (sec),Length (sec)
075_Different Heaven – Nekozilla,-15.1891,-10.69,"(127.0, -56.584)","(115.0, -4.5641)",0.0231,165.9636,165.9867
076_staple stable [227 Soundtrack] – Miu Takigawa,-14.9235,-13.24,"(125.0, -71.4599)","(74.0, -8.5243)",4.8798,82.245,89.0822
077_Help Is On The Way – Rise Against,-12.4923,-11.86,"(116.0, -34.1593)","(0.0, -8.22)",0.056,248.3141,258.7504
078_Superhuman (Nightcore),-12.8551,-10.58,"(127.0, -45.5264)","(113.0, -4.7465)",0.9972,189.3936,190.3909
079_Lost Princess (TV Size) [Princess Connect! ReDive Opening] – Pecorine (CV Mao Ichimichi) Kokkoro (CV Milku Itou) Kiruya (CV Rika Tachibana),-13.4861,-12.96,"(125.0, -36.7012)","(101.0, -9.7114)",2.4762,88.9324,93.2386
080_PREPARING THE KRABBY PATTY,-23.682,-18.5799,"(127.0, -52.6096)","(87.0, -12.0951)",0.3656,32.9258,33.424
081_Departure! (TV Size) [Hunter X Hunter – Opening 1] – Masatoshi Ono,-15.8848,-14.51,"(113.0, -55.7703)","(87.0, -11.8963)",0.5989,79.3193,90.0223
082_PoPiPo feat Hatsune Miku – LamazeP,-16.1543,-14.54,"(1.0, -47.6111)","(50.0, -7.4717)",0.3565,177.4004,195.0229
083_ryo(supercell) – World is Mineワールドイズマイン – feat Hatsune Miku,-12.7376,-11.74,"(127.0, -50.2887)","(51.0, -8.9621)",4.081,250.4504,255.8247
084_Everyday – Virtual Riot,-15.2547,-11.59,"(127.0, -62.1548)","(28.0, -5.7218)",0.0047,232.989,233.9849
085_Summer in the City – Styx,-13.0346,-11.82,"(127.0, -46.882)","(41.0, -8.1956)",1.8275,201.9207,204.9146
086_Dr Meaker – Freaks (ft Cappo D & Sharlene Hector),-13.5424,-11.11,"(123.0, -63.6759)","(100.0, -7.0371)",4.1883,188.128,199.6789
087_David Bowie – Magic Dance (from Labyrinth OST),-14.6244,-12.6199,"(126.0, -60.0148)","(87.0, -8.938)",1.2157,248.7785,252.6305
088_GHOST DATA – PROJEKT MELODY (ft AL!CE),-13.5606,-10.39,"(127.0, -50.8796)","(99.0, -5.011)",0.0593,231.3171,231.5014
089_Centimeter (kanojo okarishimasu [Rental Girlfriend] op),-14.9379,-14.38,"(40.0, -30.62)","(22.0, -10.9368)",2.1657,88.05,91.1488
090_You Are Mine ft Kayliana – S3RL,-10.0227,-8.02,"(127.0, -70.8104)","(28.0, -4.9931)",2.7993,190.4036,194.6049
091_Renai Circulation [227 Soundtrack] – Ayaka Tachikawa,-19.206,-15.98,"(7.0, -53.529)","(117.0, -11.3093)",1.5853,129.1063,130.6916
092_Fruit Ninja in Beat Saber!,-22.5235,-18.03,"(48.0, -42.5225)","(46.0, -9.5525)",0.0528,243.995,244.0479
